Underliggande tillgång;Ticker;Indexnamn;MS_Asset
Mondelez International;MDLZ;Mondelez International;MDLZ_US_Equity
Monster Beverage;MNST;Monster Beverage;MNST_US_Equity
Mosaic;MOS;Mosaic;MOS_US_Equity
Munters Group;MTRS.ST;Munters Group;MTRS_SS_Equity
Mycronic;MYCR.ST;Mycronic;MYCR_SS_Equity
NASDAQ 100®;^NDX;NASDAQ 100;NDX_Index
NCAB Group;NCAB.ST;NCAB Group;NCAB_SS_Equity
NCC B;NCC-B.ST;NCC B;NCCB_SS_Equity
NEL;NEL.OL;NEL;NEL_NO_Equity
NIBE Industrier;NIBE-B.ST;NIBE Industrier;NIBEB_SS_Equity
NIO;NIO;NIO;NIO_US_Equity
NP3 Fastigheter;NP3.ST;NP3 Fastigheter;NP3_SS_Equity
NVIDIA;NVDA;NVIDIA;NVDA_US_Equity
Natural Gas Feb26;NG=F;Natural Gas Feb26;NGH26_Comdty
Nederman;NMAN.ST;Nederman;NMAN_SS_Equity
Neobo Fastigheter;NEOBO.ST;Neobo Fastigheter;NEOBO_SS_Equity
Net Insight B;NETI-B.ST;Net Insight B;NETIB_SS_Equity
NetEase;NTES;NetEase;NTES_US_Equity
Netflix;NFLX;Netflix;NFLX_US_Equity
New Wave Group;NEWA-B.ST;New Wave Group;NEWAB_SS_Equity
Nike;NKE;Nike;NKE_US_Equity
Nikkei 225®;^N225;Nikkei 225®;NKY_Index
Nintendo;7974.T;Nintendo;7974_JT_Equity
Nivika Fastigheter B;NIVI-B.ST;Nivika Fastigheter B;NIVIB_SS_Equity
Nokia;NOKIA-SEK.ST;Nokia;NOKIASEK_SS_Equity
Nolato B;NOLA-B.ST;Nolato B;NOLAB_SS_Equity
Norconsult Norge;NORCO.OL;Norconsult Norge;NORCO_NO_Equity
Nordea Bank;NDA-SE.ST;Nordea Bank;NDASE_SS_Equity
Nordnet;SAVE.ST;Nordnet;SAVE_SS_Equity
Norion Bank;NORION.ST;Norion Bank;NORION_SS_Equity
Norsk Hydro;NHY.OL;Norsk Hydro;NHY_NO_Equity
Norwegian Air Shuttle;NAS.OL;Norwegian Air Shuttle;NAS_NO_Equity
Norwegian Cruise Line;NCLH;Norwegian Cruise Line;NCLH_US_Equity
Note;NOTE.ST;Note;NOTE_SS_Equity
Novavax;NVAX;Novavax;NVAX_US_Equity
Novo Nordisk B;NOVO-B.CO;Novo Nordisk B;NOVOB_DC_Equity
NovoCure;NVCR;NovoCure;NVCR_US_Equity
Nyfosa;NYF.ST;Nyfosa;NYF_SS_Equity
OEM International;OEM-B.ST;OEM International;OEMB_SS_Equity
OMX S30®;^OMX;OMX S30®;OMX_Index
ON Semiconductor;ON;ON Semiconductor;ON_US_Equity
